source	target	exposure
fra	mqb	4
slv	mol	1
rus	agx	1
fra	ell	4830
sqi	mkd	51
uzb	tuk	10
gmh	hun	3
grc	isl	27
orv	xal	1
eng	ksj	1
isl	hbs	6
fra	ltz	16
hbs	uzb	1
fra	mcp	9
heb	kal	3
grc	haw	1
lam	sin	1
hbs	spa	254
rom	swe	1
sna	deu	1
wic	spa	1
syr	spa	19
fas	tel	1
non	fra	16
kir	tgk	9
deu	isl	317
grc	bcw	2
egy	deu	46
ckt	bul	1
deu	guj	14
mkd	cat	1
lao	rus	7
xuu	deu	1
spa	hch	1
rus	chm	82
sin	deu	1
eng	chv	5
kir	mol	6
sux	hbs	11
chu	nld	1
grc	kat	22
dih	spa	1
ita	pol	3175
tew	spa	1
ell	kor	11
dum	fra	14
mar	spa	5
mon	lav	2
mkd	bul	46
zho	mol	1
dan	tuk	1
grc	mal	9
enm	ell	1
zho	ara	27
kca	rus	16
amh	fin	1
grc	kfz	1
kbd	kat	2
fra	pdt	1
fra	mql	2
glg	cat	192
heb	dyo	7
urd	ell	1
est	bak	1
san	doi	1
ces	rus	895
est	chm	1
ukr	rus	1095
fra	sot	1
vie	deu	47
alt	kir	2
car	ben	1
mcu	fra	1
lav	rus	539
eng	tsg	2
bel	sin	1
deu	ang	1
por	ron	107
grc	rut	1
san	tgk	2
slv	deu	476
mla	ces	1
mar	hin	128
spa	snd	1
zho	lat	3
fra	gcr	8
fra	pan	3
rus	new	1
fin	glg	2
kat	nld	2
krl	eng	1
eng	mbs	5
jpn	mol	13
oym	fra	1
kir	kat	1
nor	ron	33
hbs	lav	12
quc	spa	1
hss	eng	1
kio	eng	2
fra	kfz	8
rom	slk	3
